N,P,K,EC,Fe,Output
53,6.4,533,0.34,1.06,0
142,6.17,487,0.6,7.32,0
172,5.87,318,0.71,3.79,0
153,7.49,467,0.56,2.32,0
199,6.09,373,0.5,6.19,0
366,11.77,821,0.8,9.03,2
197,5.88,429,0.62,2.81,0
368,11.12,826,0.8,9.03,2
142,7.91,456,0.59,6.77,0
298,10.0,400,0.43,3.21,1
362,12.44,836,0.8,8.63,2
297,11.76,493,0.36,5.68,1
367,12.35,829,0.8,9.03,2
362,12.03,825,0.8,8.68,2
358,11.94,829,0.8,9.03,2
363,11.66,822,0.8,9.03,2
6,8.18,337,0.48,0.21,0
304,13.57,465,0.47,3.89,1
245,6.95,532,0.4,0.99,0
365,12.4,840,0.8,9.03,2
304,11.72,396,0.45,4.46,1
214,8.97,540,0.57,3.13,0
301,13.15,512,0.56,6.58,1
328,6.58,348,0.53,0.25,1
179,7.67,577,0.64,7.53,0
218,6.71,603,0.46,10.55,0
335,5.38,377,0.33,5.96,1
286,13.74,792,0.33,5.1,1
96,7.36,536,0.64,0.66,0
373,11.98,823,0.8,9.03,2
272,10.9,596,0.38,4.92,1
261,7.18,416,0.47,3.62,1
228,122.8,491,0.51,7.69,1
216,6.24,434,0.74,0.21,0
226,104.61,424,0.87,3.21,1
205,6.58,429,0.58,5.53,0
361,12.6,827,0.8,9.03,2
364,12.09,830,0.8,9.03,2
259,10.71,456,0.42,4.93,1
361,11.55,827,0.8,8.49,2
311,8.24,346,0.57,5.6,1
368,12.22,819,0.8,9.03,2
256,8.82,452,0.39,3.56,1
246,2.9,667,0.31,0.22,1
364,12.46,829,0.8,8.91,2
345,11.01,664,0.77,3.52,1
256,6.63,624,0.36,6.89,1
125,77.48,432,0.49,6.3,0
368,12.01,832,0.8,8.38,2
364,12.14,818,0.8,8.86,2
130,7.58,621,0.47,1.92,0
322,5.76,670,0.34,2.35,1
293,11.79,350,0.52,6.1,1
23,6.28,459,0.56,2.94,0
294,9.37,675,0.62,9.57,1
149,6.06,368,0.58,5.69,0
323,6.52,501,0.64,3.78,1
252,8.35,648,0.64,6.99,1
229,6.91,611,0.41,6.12,0
364,12.5,837,0.8,8.54,2
42,6.08,412,0.46,4.14,0
322,8.8,410,0.54,5.08,1
367,10.05,378,0.33,7.59,1
364,12.35,835,0.8,8.29,2
362,12.04,834,0.8,8.88,2
369,11.89,815,0.8,8.49,2
360,11.56,817,0.8,8.88,2
276,4.62,636,0.41,3.77,1
210,7.89,448,0.53,4.38,0
358,8.43,397,0.56,3.69,1
306,8.87,523,0.63,7.45,1
217,6.9,452,0.4,5.36,0
279,11.24,468,0.44,4.97,1
286,9.77,390,0.54,4.18,1
295,6.72,693,0.47,1.78,1
158,7.81,281,0.66,6.18,0
275,7.9,439,0.33,5.31,0
364,11.34,831,0.8,9.03,2
367,11.79,816,0.8,8.82,2
232,6.61,360,0.76,7.22,0
203,5.45,443,0.62,0.27,0
364,11.37,837,0.8,9.03,2
296,5.75,334,0.5,0.74,1
193,9.11,501,0.47,9.53,0
189,7.35,740,0.5,4.12,0
260,10.35,400,0.48,0.22,1
327,10.28,435,0.44,6.95,1
239,7.28,430,0.56,5.98,0
180,7.26,502,0.68,4.53,0
362,11.92,841,0.8,8.42,2
241,8.71,405,0.62,3.89,0
368,11.93,833,0.8,9.03,2
274,92.8,211,0.85,4.26,1
271,11.98,397,0.45,3.94,1
363,12.18,822,0.8,9.03,2
360,11.7,824,0.8,9.03,2
167,3.9,514,0.57,1.5,0
202,68.14,769,0.79,8.76,0
197,7.01,446,0.44,1.2,0
181,7.1,521,0.62,4.26,0
195,5.4,242,0.48,3.93,0
301,6.02,353,0.58,0.22,1
372,12.07,828,0.8,8.89,2
322,8.36,538,0.54,6.66,1
364,11.85,824,0.8,9.03,2
361,12.51,825,0.8,8.64,2
301,7.16,790,0.27,3.92,1
365,11.77,823,0.8,8.65,2
309,5.91,334,0.81,8.28,1
233,12.72,467,0.35,3.34,1
173,6.86,450,0.65,8.81,0
198,7.52,450,0.59,4.19,0
360,11.79,824,0.8,8.8,2
358,12.04,816,0.8,9.03,2
288,6.72,701,0.48,6.36,1
210,6.56,592,0.73,0.21,0
269,5.09,273,0.48,2.6,0
365,12.56,833,0.8,8.89,2
288,9.63,628,0.68,6.06,1
160,76.98,718,0.63,5.67,1
221,7.63,378,0.63,3.53,0
32,4.43,483,0.74,4.63,0
275,11.81,488,0.48,2.79,1
361,11.94,805,0.8,9.03,2
356,11.73,831,0.8,8.64,2
237,5.72,581,0.4,5.73,0
125,8.24,628,0.33,7.54,0
369,12.15,825,0.8,8.99,2
367,11.53,829,0.8,9.03,2
163,7.13,707,0.56,6.93,0
277,8.21,477,0.45,1.56,1
302,11.61,367,0.56,2.85,1
256,6.38,426,0.43,2.87,1
357,11.67,815,0.8,8.74,2
363,11.63,829,0.8,8.66,2
366,11.77,829,0.8,9.03,2
204,6.69,443,0.43,8.4,0
291,18.28,533,0.74,8.0,1
49,7.74,573,0.62,0.21,0
365,12.23,818,0.8,8.72,2
368,11.84,824,0.8,9.03,2
369,12.32,824,0.8,8.72,2
368,12.31,833,0.8,9.03,2
367,12.21,827,0.8,8.92,2
269,6.58,592,0.64,4.35,1
311,11.0,826,0.37,3.49,1
123,6.59,583,0.48,6.0,0
368,12.77,827,0.8,8.69,2
158,4.85,431,0.57,3.62,0
282,11.63,436,0.41,1.92,1
305,8.12,438,0.48,1.12,1
371,11.72,825,0.8,8.45,2
360,12.31,839,0.8,8.88,2
356,12.38,828,0.8,9.03,2
228,122.8,621,0.54,11.54,1
361,11.64,834,0.8,8.93,2
325,9.39,406,0.57,1.99,1
125,6.69,613,0.66,0.96,0
203,6.56,535,0.64,3.47,0
363,11.53,826,0.8,9.03,2
53,5.97,556,0.48,2.86,0
366,11.97,826,0.8,9.03,2
360,12.24,838,0.8,8.39,2
358,11.45,810,0.8,8.57,2
313,4.11,605,0.37,3.37,1
317,10.7,393,0.65,7.04,1
367,11.69,835,0.8,8.88,2
362,12.18,833,0.8,8.6,2
292,9.83,377,0.43,2.13,1
350,9.74,513,0.63,0.96,1
309,7.01,378,0.46,3.59,1
362,12.03,823,0.8,9.03,2
346,10.48,335,0.65,7.35,1
69,8.83,468,0.63,3.58,0
256,9.87,394,0.31,5.34,1
95,9.41,560,0.42,4.72,0
364,12.11,833,0.8,8.68,2
362,11.88,820,0.8,9.03,2
364,11.88,823,0.8,8.97,2
220,6.49,457,0.41,3.58,0
180,6.38,418,0.35,7.77,0
367,11.76,842,0.8,8.71,2
138,4.83,449,0.57,1.2,0
141,6.25,439,0.78,4.7,0
359,11.9,812,0.8,8.85,2
203,6.9,468,0.6,1.4,0
376,12.07,828,0.8,9.03,2
369,11.57,838,0.8,9.03,2
261,10.36,420,0.6,3.45,1
284,50.05,320,0.44,7.33,1
186,7.51,461,0.38,3.49,0
304,9.71,710,0.47,3.49,1
194,102.09,438,0.59,7.71,1
338,11.85,423,0.49,6.32,1
254,8.11,437,0.81,3.1,0
307,10.84,488,0.29,1.01,1
368,12.28,828,0.8,9.03,2
211,6.6,428,0.64,2.38,0
73,7.79,535,0.51,6.99,0
366,11.82,822,0.8,8.76,2
319,8.27,558,0.5,9.0,1
272,10.16,394,0.58,4.42,1
231,3.9,731,0.35,8.66,0
148,5.96,443,0.44,3.05,0
357,11.57,825,0.8,8.5,2
241,8.96,429,0.65,2.52,0
211,5.8,431,0.49,8.37,0
267,10.23,471,0.43,7.9,1
283,3.4,588,0.5,4.19,1
361,11.88,829,0.8,8.92,2
334,11.72,461,0.6,4.97,1
195,7.81,544,0.64,3.19,0
69,7.41,627,0.41,0.81,0
238,79.16,618,0.72,7.05,1
88,7.13,338,0.8,4.81,0
365,11.64,824,0.8,8.86,2
376,12.12,826,0.8,8.9,2
201,5.3,526,0.47,2.88,0
361,12.04,837,0.8,9.03,2
310,7.3,548,0.55,3.65,1
285,9.95,484,0.38,2.97,1
179,5.6,434,0.53,5.57,0
221,7.4,527,0.39,4.27,0
242,5.93,362,0.56,10.33,0
294,10.17,359,0.48,4.22,1
241,10.33,429,0.27,3.27,1
216,5.1,352,0.72,3.28,0
163,6.46,326,0.62,3.33,0
364,12.27,833,0.8,9.0,2
365,12.11,827,0.8,9.03,2
360,12.07,826,0.8,8.94,2
331,12.61,733,0.64,0.47,1
192,69.02,465,0.42,4.06,0
368,12.1,819,0.8,9.03,2
319,8.99,549,0.59,2.54,1
202,7.5,384,0.83,0.69,0
51,7.79,377,0.64,5.96,0
153,78.07,456,0.46,4.66,0
150,6.82,465,0.49,3.11,0
368,12.22,829,0.8,8.86,2
186,9.88,392,0.7,0.21,0
150,8.21,429,0.35,1.54,0
187,9.41,834,0.81,0.21,0
224,9.69,486,0.66,0.21,0
209,7.01,449,0.42,4.76,0
353,8.83,381,0.4,3.81,1
320,8.61,495,0.39,2.58,1
220,5.92,668,0.67,2.67,0
284,4.33,348,0.71,4.3,1
300,12.73,368,0.59,4.93,1
349,11.55,770,0.55,6.22,1
369,11.86,835,0.8,9.03,2
361,11.89,829,0.8,9.03,2
357,12.33,824,0.8,9.03,2
105,5.08,489,0.69,6.95,0
365,12.6,807,0.8,8.68,2
38,6.53,460,0.65,2.02,0
272,14.0,600,0.69,2.03,1
361,12.08,820,0.8,8.91,2
217,8.93,501,0.67,2.82,0
246,7.3,254,0.37,4.4,0
370,11.97,827,0.8,9.03,2
157,8.24,328,0.56,8.55,0
284,14.31,398,0.43,6.29,1
372,11.92,830,0.8,9.03,2
231,5.85,463,0.72,0.21,0
329,11.08,351,0.53,7.09,1
247,90.17,605,0.58,6.52,1
346,9.64,560,0.43,2.51,1
200,5.42,585,0.42,8.34,0
153,6.85,550,0.57,6.83,0
170,7.8,438,0.3,4.17,0
193,10.64,415,0.56,1.61,0
294,6.68,625,0.34,4.6,1
338,13.88,389,0.46,1.73,1
195,4.99,618,0.53,4.17,0
246,7.67,479,0.54,3.85,1
65,6.89,449,0.48,0.4,1
364,12.4,819,0.8,9.01,2
366,11.72,818,0.8,8.76,2
358,11.48,824,0.8,9.03,2
365,12.14,833,0.8,9.03,2
196,9.97,532,0.63,4.99,0
362,11.97,823,0.8,8.84,2
299,11.92,375,0.6,1.13,1
247,12.25,460,0.55,3.06,1
275,9.8,426,0.54,5.4,1
334,5.85,511,0.54,0.43,1
364,11.88,831,0.8,9.03,2
365,11.75,824,0.8,8.56,2
105,5.91,450,0.81,4.98,0
226,8.29,530,0.65,5.61,0
266,7.07,718,0.56,4.59,0
200,6.59,645,0.56,2.83,0
370,12.24,839,0.8,8.97,2
185,8.67,418,0.7,2.36,0
370,12.46,833,0.8,8.62,2
216,6.28,574,0.57,6.53,0
219,8.08,295,0.63,6.23,0
32,8.78,551,0.54,0.21,0
292,9.22,582,0.5,0.22,1
160,6.21,343,0.67,1.56,0
216,83.56,550,0.5,3.78,0
325,5.89,850,0.19,2.59,1
301,11.65,529,0.6,2.02,1
139,6.69,598,0.63,4.79,0
254,9.39,654,0.57,2.17,0
369,11.85,828,0.8,8.82,2
238,6.22,430,0.36,7.17,0
83,3.92,565,0.35,8.25,0
267,13.85,435,0.48,3.41,1
202,5.87,446,0.71,3.18,0
176,6.55,452,0.26,2.84,0
346,10.16,650,0.58,5.06,1
324,13.89,377,0.33,3.24,1
312,6.83,702,0.64,6.27,1
294,9.08,466,0.53,0.22,1
374,11.97,827,0.8,8.76,2
363,11.78,830,0.8,8.71,2
219,7.75,381,0.57,2.03,0
228,6.25,451,0.67,1.38,0
204,5.83,264,0.59,0.96,0
367,11.93,821,0.8,9.03,2
210,7.52,390,0.49,3.07,0
366,11.98,831,0.8,9.03,2
243,7.91,379,0.42,7.32,0
362,7.93,642,0.27,0.22,1
322,10.14,451,0.37,4.04,1
243,87.97,767,0.56,5.38,1
208,7.23,724,0.63,0.57,0
340,8.65,587,0.49,0.4,1
217,7.93,750,0.89,0.45,0
327,18.65,232,0.39,1.47,1
38,6.94,581,0.32,2.27,0
288,8.5,390,0.72,5.5,1
168,9.03,503,0.42,3.05,0
370,11.99,820,0.8,8.69,2
370,12.02,816,0.8,9.03,2
354,10.84,799,0.5,0.22,1
363,12.57,823,0.8,9.01,2
223,6.07,716,0.37,7.47,0
169,6.12,585,0.42,4.28,0
221,6.65,521,0.24,2.46,0
219,3.9,421,0.54,3.81,0
192,6.39,546,0.46,5.09,0
216,9.17,438,0.5,1.85,0
245,6.63,621,0.52,4.85,0
362,11.78,816,0.8,8.98,2
368,12.4,829,0.8,8.78,2
205,6.88,456,0.81,8.75,0
228,6.34,608,0.31,2.28,0
239,9.85,445,0.41,4.04,1
322,20.93,471,0.89,10.05,1
237,8.44,513,0.46,9.65,0
236,7.37,648,0.64,0.41,0
368,12.34,831,0.8,9.03,2
368,11.54,815,0.8,8.79,2
182,8.26,406,0.39,2.82,0
365,12.13,833,0.8,9.03,2
328,7.86,351,0.57,7.37,1
210,6.25,448,0.51,6.5,0
163,9.02,466,0.57,6.1,0
140,6.27,521,0.66,6.8,0
363,11.44,819,0.8,9.01,2
298,10.31,725,0.47,3.56,1
345,8.25,564,0.48,0.8,1
176,5.7,514,0.51,1.33,0
359,11.7,800,0.8,8.66,2
273,9.7,445,0.47,10.89,1
364,12.06,821,0.8,8.98,2
274,6.47,563,0.45,10.32,0
288,8.1,566,0.79,5.08,0
203,9.09,563,0.52,4.67,0
360,11.62,836,0.8,8.8,2
352,7.0,566,0.4,0.22,1
311,8.54,370,0.44,5.75,1
366,11.99,817,0.8,9.03,2
361,12.02,832,0.8,8.36,2
364,11.58,821,0.8,9.03,2
249,14.03,407,0.57,2.05,1
287,11.88,427,0.61,7.4,1
226,13.24,561,0.55,5.45,0
235,5.7,445,0.53,2.77,0
370,12.47,817,0.8,9.03,2
113,80.94,502,0.61,5.47,0
366,12.21,817,0.8,8.55,2
181,8.28,651,0.68,5.58,0
371,12.08,821,0.8,8.8,2
325,49.57,231,0.56,7.19,1
205,7.33,437,0.64,4.98,0
371,12.19,828,0.8,8.6,2
362,11.69,835,0.8,9.03,2
260,5.43,563,0.66,7.7,0
186,6.73,834,0.77,1.72,0
362,12.35,815,0.8,8.69,2
362,12.19,825,0.8,8.59,2
251,5.7,530,0.89,1.22,0
249,10.01,593,0.69,5.7,1
317,8.94,583,0.65,4.45,1
373,12.0,827,0.8,9.03,2
227,94.3,541,0.39,6.2,0
367,11.88,836,0.8,9.03,2
286,7.08,489,0.71,2.39,1
308,8.9,317,0.37,4.28,1
368,11.68,819,0.8,9.03,2
159,8.28,672,0.68,4.95,0
343,9.05,587,0.56,5.58,1
300,109.25,425,0.54,6.83,1
359,12.2,825,0.8,8.78,2
336,7.14,407,0.57,8.8,1
277,12.33,683,0.17,1.6,1
363,9.75,645,0.41,3.76,1
335,10.06,552,0.46,6.32,1
363,12.08,819,0.8,8.82,2
366,11.83,813,0.8,9.03,2
161,6.38,603,0.73,1.52,0
366,12.72,827,0.8,8.83,2
359,11.64,813,0.8,8.66,2
373,11.89,822,0.8,8.77,2
207,6.51,571,0.59,7.35,0
298,14.19,517,0.73,4.01,1
210,98.27,823,0.33,6.67,1
353,9.28,682,0.39,0.22,1
253,7.63,544,0.46,3.72,0
323,9.28,723,0.54,6.41,1
358,12.24,810,0.8,9.03,2
193,8.8,441,0.46,4.9,0
170,6.59,476,0.49,0.21,0
308,7.76,390,0.77,1.77,1
234,4.04,548,0.7,0.21,0
370,11.67,838,0.8,9.03,2
292,12.66,400,0.43,6.84,1
365,12.33,826,0.8,8.59,2
360,12.53,820,0.8,8.98,2
358,11.27,819,0.8,8.85,2
367,8.06,633,0.5,0.22,1
147,89.27,408,0.46,4.6,0
195,8.37,532,0.7,1.83,0
316,9.13,653,0.64,7.19,1
273,8.58,441,0.5,10.55,0
270,75.5,451,0.54,4.31,1
194,7.5,517,0.49,2.82,0
368,10.15,329,0.6,7.75,1
287,2.9,372,0.5,2.18,1
361,12.52,829,0.8,8.67,2
329,8.39,590,0.49,2.02,1
177,5.58,531,0.66,2.06,0
365,12.13,822,0.8,9.03,2
260,10.78,481,0.65,0.62,1
343,7.89,325,0.45,2.46,1
222,10.26,364,0.75,0.21,0
270,6.85,549,0.32,3.48,1
369,12.46,818,0.8,9.03,2
210,102.28,406,0.45,8.71,1
271,6.85,560,0.58,2.23,1
243,10.78,469,0.78,1.12,0
354,9.19,528,0.61,7.49,1
302,13.24,640,0.44,1.96,1
361,11.6,831,0.8,9.03,2
364,11.31,837,0.8,9.03,2
291,10.73,405,0.48,0.69,1
357,5.5,372,0.47,9.44,1
152,7.53,561,0.87,4.46,0
313,27.06,116,0.8,4.48,1
369,12.16,817,0.8,8.83,2
145,5.82,600,0.47,6.08,0
262,7.72,428,0.27,5.97,1
268,5.34,614,0.36,0.72,1
278,7.17,541,0.54,4.62,1
361,10.78,376,0.65,8.61,1
289,7.52,390,0.39,6.78,1
357,11.8,827,0.8,8.86,2
364,11.63,838,0.8,9.03,2
357,11.81,830,0.8,9.03,2
374,12.77,812,0.8,8.91,2
368,11.85,825,0.8,8.54,2
311,6.3,516,0.73,2.6,1
361,12.15,821,0.8,9.03,2
362,11.47,832,0.8,8.32,2
358,7.53,554,0.52,1.59,1
293,11.15,418,0.63,1.94,1
183,5.67,662,0.74,5.77,0
324,13.63,414,0.39,7.64,1
320,10.1,669,0.74,4.46,1
338,7.42,560,0.47,3.81,1
309,99.96,333,0.54,1.02,1
367,12.1,828,0.8,9.03,2
238,7.9,671,0.58,5.1,0
182,6.96,721,0.67,4.63,0
324,12.3,430,0.69,7.72,1
273,7.13,411,0.39,3.4,1
367,11.78,817,0.8,8.81,2
359,9.04,733,0.53,5.24,1
361,6.76,586,0.54,0.22,1
232,7.77,383,0.79,1.24,0
362,12.42,838,0.8,9.03,2
116,7.62,537,0.58,0.21,0
179,6.69,507,0.43,3.28,0
367,8.79,428,0.46,6.27,1
348,15.66,512,0.58,6.87,1
296,8.88,887,0.19,7.38,1
367,11.94,830,0.8,9.03,2
266,9.29,447,0.6,6.95,0
361,12.03,815,0.8,9.03,2
360,12.12,824,0.8,8.6,2
359,11.82,822,0.8,9.03,2
161,7.64,272,0.61,0.35,0
205,5.86,417,0.54,4.59,0
281,11.98,477,0.54,0.86,1
243,7.23,515,0.44,5.71,0
306,2.9,690,0.62,5.72,1
217,7.97,613,0.4,3.13,0
369,11.75,847,0.8,8.71,2
359,8.31,464,0.47,6.12,1
220,93.19,488,0.54,3.77,1
367,12.16,831,0.8,8.54,2
363,12.1,829,0.8,9.03,2
309,4.41,400,0.62,3.2,1
275,8.96,413,0.49,4.34,1
364,11.9,830,0.8,8.96,2
373,12.13,807,0.8,8.79,2
216,6.69,344,0.68,1.56,0
135,7.7,572,0.36,4.49,0
275,12.99,484,0.53,1.83,1
234,7.78,645,0.33,0.21,0
346,5.93,541,0.63,1.7,1
186,91.25,776,0.34,3.24,1
362,11.79,823,0.8,9.03,2
254,13.01,413,0.63,6.8,1
183,7.63,443,0.28,0.33,0
367,12.09,835,0.8,9.03,2
254,10.36,455,0.81,6.27,1
336,9.76,606,0.3,3.77,1
362,12.05,813,0.8,8.9,2
345,8.96,343,0.52,9.13,1
202,11.17,392,0.89,0.21,0
223,13.45,454,0.55,0.28,1
293,9.26,335,0.62,4.75,1
288,9.06,287,0.66,8.04,1
185,7.89,229,0.74,1.13,0
267,11.84,576,0.57,8.39,1
133,7.29,413,0.49,6.8,0
236,5.79,432,0.5,4.02,0
261,15.99,623,0.58,0.22,1
378,12.02,831,0.8,9.03,2
369,11.97,829,0.8,8.82,2
321,9.19,530,0.55,1.64,1
373,11.83,828,0.8,9.03,2
365,12.16,822,0.8,8.98,2
369,12.15,834,0.8,8.92,2
307,2.9,351,0.39,7.03,1
347,9.03,542,0.57,5.33,1
351,13.03,421,0.57,3.19,1
223,6.64,648,0.57,5.12,0
368,11.99,825,0.8,8.3,2
155,6.88,429,0.75,6.71,0
363,12.34,449,0.19,7.85,1
318,6.3,282,0.64,7.57,1
359,5.34,338,0.34,7.08,1
362,3.43,338,0.57,4.17,1
318,5.41,415,0.56,3.2,1
360,11.59,815,0.8,8.89,2
366,11.7,830,0.8,8.72,2
365,11.98,828,0.8,8.91,2
288,93.31,390,0.61,2.73,1
367,12.23,823,0.8,8.86,2
310,9.38,772,0.47,1.21,1
277,16.58,539,0.65,6.61,1
319,14.95,578,0.47,1.56,1
221,6.06,533,0.67,1.56,0
198,6.53,452,0.58,2.92,0
241,5.45,577,0.7,4.4,0
375,12.01,823,0.8,9.03,2
249,5.85,541,0.71,3.19,0
186,8.03,543,0.5,0.92,0
159,6.46,435,0.35,3.28,0
270,6.59,427,0.6,0.22,1
362,12.39,822,0.8,9.03,2
370,11.43,820,0.8,9.03,2
363,11.82,820,0.8,8.73,2
65,7.64,479,0.69,3.0,0
205,6.33,612,0.76,2.97,0
114,7.0,421,0.57,0.57,1
222,69.23,434,0.59,5.57,1
361,12.47,810,0.8,8.36,2
353,11.59,820,0.8,9.03,2
79,8.86,393,0.58,7.16,0
195,7.37,635,0.52,5.96,0
365,11.67,820,0.8,8.63,2
130,6.54,410,0.51,4.33,0
357,12.2,810,0.8,9.03,2
355,11.76,827,0.8,8.84,2
303,7.24,421,0.4,5.22,1
366,12.43,821,0.8,8.86,2
308,7.54,582,0.89,10.92,1
250,7.73,445,0.65,4.23,0
242,4.57,306,0.6,5.2,1
235,8.53,535,0.51,1.3,0
317,80.98,215,0.75,6.27,1
300,12.22,648,0.59,4.85,1
372,12.23,812,0.8,8.66,2
363,12.15,823,0.8,8.7,2
301,4.39,700,0.48,7.31,1
227,8.02,509,0.55,1.61,0
353,7.31,392,0.55,3.93,1
369,7.76,738,0.6,0.22,1
371,11.86,838,0.8,9.03,2
162,8.21,276,0.58,0.81,0
200,6.3,636,0.63,4.95,0
171,6.86,530,0.52,6.1,0
366,11.81,815,0.8,9.0,2
355,9.7,470,0.47,6.04,1
160,7.33,344,0.47,4.86,0
366,12.11,818,0.8,9.03,2
138,6.54,529,0.49,5.07,0
276,9.09,743,0.41,8.9,1
369,11.81,830,0.8,8.82,2
376,11.48,820,0.8,8.76,2
292,12.18,595,0.69,6.73,1
245,9.22,355,0.88,0.21,0
308,7.31,522,0.54,4.74,1
230,34.27,718,0.56,3.27,1
187,66.23,492,0.59,3.57,0
189,6.08,551,0.69,3.55,0
55,8.65,526,0.44,3.8,0
268,15.43,412,0.46,2.87,1
274,12.07,447,0.73,2.23,1
369,11.48,826,0.8,8.76,2
268,2.96,610,0.49,2.53,1
367,12.24,832,0.8,8.8,2
359,11.78,831,0.8,8.77,2
248,6.99,478,0.49,8.19,1
295,7.81,673,0.48,5.06,1
232,8.64,450,0.52,3.86,0
304,10.78,452,0.59,3.59,1
364,12.25,814,0.8,9.03,2
193,7.78,457,0.61,6.0,0
164,8.56,596,0.49,3.3,0
361,11.77,823,0.8,9.03,2
233,8.8,491,0.36,2.74,1
198,7.21,398,0.59,2.45,0
360,11.83,814,0.8,9.03,2
341,8.56,592,0.39,5.48,1
240,9.37,431,0.58,8.07,1
357,12.5,817,0.8,9.03,2
257,9.19,511,0.53,7.57,1
347,8.86,610,0.63,1.74,1
362,8.3,619,0.32,4.32,1
367,12.01,830,0.8,8.4,2
368,11.56,814,0.8,8.66,2
209,10.09,464,0.38,1.07,0
129,7.08,667,0.6,4.63,0
146,8.02,573,0.68,0.87,0
366,8.63,590,0.46,0.22,1
248,122.8,558,0.3,8.76,1
361,12.58,828,0.8,8.57,2
180,8.26,597,0.5,2.81,0
185,6.86,549,0.63,3.45,0
247,6.7,413,0.53,4.56,0
192,6.98,430,0.52,0.21,0
263,9.56,457,0.82,4.58,1
348,8.1,577,0.45,2.34,1
350,12.52,805,0.8,8.96,2
352,10.43,401,0.41,6.98,1
366,11.95,825,0.8,9.03,2
213,5.58,709,0.63,4.82,0
288,7.47,399,0.57,5.17,1
303,11.92,375,0.44,2.74,1
258,4.74,327,0.67,5.12,1
370,12.06,826,0.8,9.03,2
328,5.24,515,0.3,16.42,1
303,6.61,559,0.48,3.15,1
362,12.54,809,0.8,9.03,2
282,8.05,529,0.52,3.74,1
183,6.47,443,0.44,1.05,0
282,7.79,416,0.62,3.41,1
361,11.79,828,0.8,9.03,2
362,12.2,834,0.8,8.8,2
290,11.27,535,0.66,2.99,1
103,7.96,367,0.65,4.04,0
272,8.97,611,0.29,2.36,1
347,7.18,538,0.67,2.3,1
170,6.5,496,0.69,0.25,1
364,12.07,825,0.8,8.53,2
336,9.3,664,0.53,3.89,1
246,6.32,372,0.66,4.92,0
221,16.77,782,0.52,0.21,0
343,11.95,484,0.28,5.74,1
242,9.81,424,0.47,4.98,1
269,13.21,591,0.52,2.97,1
248,11.27,515,0.5,0.8,0
132,5.94,367,0.59,2.45,0
366,11.94,824,0.8,9.03,2
368,12.35,813,0.8,8.75,2
371,12.07,821,0.8,8.7,2
270,9.31,503,0.47,6.99,1
319,12.7,509,0.48,5.61,1
227,6.22,703,0.52,3.52,0
280,11.68,524,0.54,6.31,1
365,11.99,827,0.8,9.03,2
298,8.99,366,0.36,2.21,1
337,10.56,661,0.66,1.86,1
185,7.98,738,0.46,1.76,0
237,6.63,284,0.42,0.21,0
364,12.54,829,0.8,8.58,2
135,10.78,466,0.59,4.04,0
193,7.36,514,0.74,1.59,0
150,81.89,505,0.62,6.77,0
142,7.89,311,0.58,9.46,0
263,8.6,409,0.48,0.22,1
375,6.35,748,0.57,2.61,1
254,122.8,389,0.55,5.19,1
221,6.04,529,0.64,7.46,0
366,12.58,812,0.8,9.03,2
376,12.56,831,0.8,8.68,2
270,8.75,454,0.59,2.64,1
276,92.74,414,0.6,0.92,1
285,8.55,647,0.34,2.64,1
319,6.54,575,0.43,0.22,1
366,12.41,818,0.8,9.03,2
163,89.6,408,0.48,3.47,0
313,10.62,450,0.66,7.25,1
362,11.78,823,0.8,8.74,2
184,6.44,421,0.35,7.74,0
368,11.87,829,0.8,9.03,2
360,11.54,824,0.8,8.8,2
164,3.9,497,0.47,3.78,0
322,13.33,441,0.47,2.41,1
345,4.95,406,0.48,5.53,1
304,8.28,734,0.49,6.15,1
364,12.21,828,0.8,8.84,2
115,7.58,556,0.61,4.42,0
360,11.94,824,0.8,8.56,2
357,12.37,828,0.8,9.03,2
62,6.27,599,0.48,0.9,0
180,10.17,456,0.5,3.02,0
331,13.3,373,0.78,5.0,1
309,6.33,591,0.72,3.61,1
263,8.73,180,0.42,4.89,0
254,5.44,602,0.43,1.31,0
363,12.23,824,0.8,8.8,2
265,11.68,574,0.56,1.52,1
292,12.73,741,0.52,5.44,1
361,11.97,834,0.8,9.03,2
288,2.9,306,0.44,0.87,1
319,7.92,407,0.55,1.91,1
191,8.13,374,0.79,3.98,0
294,10.3,411,0.52,0.22,1
183,4.57,392,0.7,4.47,0
167,6.67,469,0.65,7.13,0
225,6.18,391,0.55,4.96,0
6,4.77,533,0.61,0.21,0
278,6.8,616,0.76,5.43,0
282,11.02,541,0.73,10.7,1
225,7.01,504,0.24,4.84,0
337,12.79,450,0.48,4.09,1
358,11.94,820,0.8,9.03,2
377,10.45,612,0.58,5.09,1
362,11.98,827,0.8,8.36,2
197,7.12,544,0.71,5.37,0
298,8.17,431,0.47,4.45,1
216,8.51,459,0.43,0.21,0
264,13.67,573,0.34,3.47,1
365,12.56,835,0.8,8.57,2
298,9.24,403,0.4,2.32,1
316,8.24,580,0.56,2.1,1
150,6.24,452,0.61,2.48,0
361,11.69,825,0.8,9.03,2
300,10.53,350,0.57,9.19,1
287,12.35,689,0.56,3.9,1
366,12.33,824,0.8,9.03,2
223,8.74,422,0.77,1.46,0
185,7.25,429,0.53,6.44,0
235,7.63,355,0.48,4.07,1
339,7.74,755,0.51,5.63,1
294,113.08,612,0.47,7.11,1
